R_Name,hierarchy
SA-BUA 71-1991 Sec2(1)(a),2.1.1
SA-RLRA 111-1996 Par19,19
SA-RLRA 111-1996 Par18,18
SA-RLRA 111-1996 Par17(2),17.2
SA-RLRA 111-1996 Par17(1)(iv),NULL
SA-RLRA 111-1996 Par17(1)(iii),NULL
SA-RLRA 111-1996 Par17(1)(ii),17.1.34
SA-RLRA 111-1996 Par17(1)(i),17.1.9
SA-RLRA 111-1996 Par16(9),16.9
SA-BCEA 1438-1998 Sec 4.4 (b),NULL
SA-RLRA 111-1996 Par16(8),16.8
SA-RLRA 111-1996 Par16(7),16.7
SA-RLRA 111-1996 Par16(6)(b),16.6.2
SA-RLRA 111-1996 Par16(6)(a),16.6.1
SA-RLRA 111-1996 Par16(5),16.5
SA-RLRA 111-1996 Par16(4)(b),16.4.2
SA-RLRA 111-1996 Par16(4)(a),16.4.1
SA-RLRA 111-1996 Par16(3),16.3
SA-RLRA 111-1996 Par16(2),16.2
SA-RLRA 111-1996 Par16(1),16.1
SA-RLRA 111-1996 Par15(2),15.2
SA-NMWA 1401-2018 Schedule 2 Sec 2 (a),NULL
SA-RLRA 111-1996 Par15(1),15.1
SA-RLRA 111-1996 Par14(2),14.2
SA-RLRA 111-1996 Par14(1),14.1
SA-RLRA 111-1996 Par13,13
SA-RLRA 111-1996 Par12,12
SA-RLRA 111-1996 Par11,11
SA-RLRA 111-1996 Par10,10
SA-RLRA 111-1996 Par9,9
SA-RLRA 111-1996 Par8(3),8.3
SA-RLRA 111-1996 Par8(2),8.2
SA-RLRA 111-1996 Par8(1),8.1
SA-LRA 66-1995 Sec59(4)(b),59.4.2
SA-RLRA 111-1996 Par7A,20
SA-RLRA 111-1996 Par7,7
SA-RLRA 111-1996 Par6(3),6.3
SA-RLRA 111-1996 Par6(2)(b),6.2.2
SA-RLRA 111-1996 Par6(2)(a),6.2.1
SA-RLRA 111-1996 Par6(1)(b),6.1.2
SA-RLRA 111-1996 Par6(1)(a),6.1.1
SA-RLRA 111-1996 Par5,5
SA-RLRA 111-1996 Par4,4
SA-RLRA 111-1996 Par3,3
SA-RLRA 111-1996 Par2(b),2.2
SA-RLRA 111-1996 Par2(a),2.1
SA-RLRA 300-1997 Sch2 Par3(2),3.2
SA-RLRA 300-1997 Sch2 Par3(1),3.1
SA-RLRA 300-1997 Sch2 Par2,2
SA-RLRA 300-1997 Sch2 Par1(6),1.6
SA-RLRA 300-1997 Sch2 Par1(5),1.5
SA-RLRA 300-1997 Sch2 Par1(4),1.4
SA-RLRA 300-1997 Sch2 Par1(3),1.3
SA-RLRA 300-1997 Sch2 Par1(2),1.2
SA-RLRA 300-1997 Sch2 Par1(1),1.1
SA-RLRA 300-1997 Sch1 Form14,14
SA-RLRA 300-1997 Sch1 Form13,13
SA-RLRA 300-1997 Sch1 Form12,12
SA-RLRA 300-1997 Sch1 Form11,11
SA-RLRA 300-1997 Sch1 Form10,10
SA-RLRA 300-1997 Sch1 Form9,9
SA-RLRA 300-1997 Sch1 Form8,8
SA-RLRA 300-1997 Sch1 Form7,7
SA-RLRA 300-1997 Sch1 Form6,6
SA-RLRA 300-1997 Sch1 Form5,5
SA-RLRA 300-1997 Sch1 Form4,4
SA-RLRA 300-1997 Sch1 Form3,3
SA-RLRA 300-1997 Sch1 Form2,2
SA-RLRA 300-1997 Sch1 Form1,1
SA-RLRA 300-1997 Par73(2),73.2
SA-RLRA 300-1997 Par73(1),73.1
SA-RLRA 300-1997 Par72(2)(b),72.2.2
SA-RLRA 300-1997 Par72(2)(a),72.2.1
SA-RLRA 300-1997 Par72(1),72.1
SA-RLRA 300-1997 Par71(3),71.3
SA-RLRA 300-1997 Par71(2),71.2
SA-RLRA 300-1997 Par71(1),71.1
SA-RLRA 300-1997 Par70(12)(b),70.12.2
SA-RLRA 300-1997 Par70(12)(a),70.12.1
SA-RLRA 300-1997 Par70(11)(c),70.11.3
SA-RLRA 300-1997 Par70(11)(b),70.11.2
SA-RLRA 300-1997 Par70(11)(a),70.11.1
SA-RLRA 300-1997 Par70(10),70.1
SA-RLRA 300-1997 Par70(9),70.9
SA-RLRA 300-1997 Par70(8),70.8
SA-RLRA 300-1997 Par70(7),70.7
SA-RLRA 300-1997 Par70(6),70.6
SA-RLRA 300-1997 Par70(5)(d),70.5.4
SA-RLRA 300-1997 Par70(5)(c),70.5.3
SA-RLRA 300-1997 Par70(5)(b),70.5.2
SA-RLRA 300-1997 Par70(5)(a),70.5.1
SA-RLRA 300-1997 Par70(4),70.4
SA-RLRA 300-1997 Par70(3),70.3
SA-RLRA 300-1997 Par70(2),70.2
SA-RLRA 300-1997 Par70(1)(d),70.1.4
SA-RLRA 300-1997 Par70(1)(c),70.1.3
SA-RLRA 300-1997 Par70(1)(b),70.1.2
SA-RLRA 300-1997 Par70(1)(a),70.1.1
SA-RLRA 300-1997 Par69(4),69.4
SA-RLRA 300-1997 Par69(3)(b),69.3.2
SA-RLRA 300-1997 Par69(3)(a),69.3.1
SA-RLRA 300-1997 Par69(2)(d),69.2.4
SA-RLRA 300-1997 Par69(2)(c),69.2.3
SA-RLRA 300-1997 Par69(2)(b),69.2.2
SA-RLRA 300-1997 Par69(2)(a),69.2.1
