R_Name,hierarchy
SA-BA 2-2008 Par12(2)(a)(ii),12.2.1.34
SA-BA 2-2008 Par12(2)(a)(i),12.2.1.9
SA-BA 2-2008 Par12(1)(c),12.1.3
SA-BA 2-2008 Par12(1)(b),12.1.2
SA-BA 2-2008 Par12(1)(a),12.1.1
SA-BA 2-2008 Par11(1)(b)(ii),11.1.2.34
SA-BA 2-2008 Par11(1)(b)(i)(B),11.1.2.9.2
SA-BA 2-2008 Par11(1)(b)(i)(A),11.1.2.9.1
SA-BA 2-2008 Par11(1)(a)(iv),11.1.1.4
SA-BA 2-2008 Par11(1)(a)(iii)(B),11.1.1.3.2
SA-BA 2-2008 Par11(1)(a)(iii)(A),11.1.1.3.1
SA-BA 2-2008 Par11(1)(a)(ii),11.1.1.34
SA-BA 2-2008 Par11(1)(a)(i),11.1.1.9
SA-BA 2-2008 Par10(1)(c),10.1.3
SA-BA 2-2008 Par10(1)(b)(ii),10.1.2.34
SA-BA 2-2008 Par10(1)(b)(i),10.1.2.9
SA-BA 2-2008 Par10(1)(a)(iv)(B),10.1.1.4.2
SA-BA 2-2008 Par10(1)(a)(iv)(A),10.1.1.4.1
SA-BA 2-2008 Par10(1)(a)(iii),10.1.1.3
SA-BA 2-2008 Par10(1)(a)(ii),10.1.1.34
SA-BA 2-2008 Par10(1)(a)(i),10.1.1.9
SA-BA 2-2008 Par9(1)(d),9.1.4
SA-BA 2-2008 Par9(1)(c),9.1.3
SA-BA 2-2008 Par9(1)(b),9.1.2
SA-BA 2-2008 Par9(1)(a)(iv),NULL
SA-BA 2-2008 Par9(1)(a)(iii),NULL
SA-BA 2-2008 Par9(1)(a)(ii),9.1.1.34
SA-BA 2-2008 Par9(1)(a)(i),9.1.1.9
SA-BA 2-2008 Par8(1)(b)(iii),8.1.2.3
SA-BA 2-2008 Par8(1)(b)(ii),8.1.2.34
SA-BA 2-2008 Par8(1)(b)(i),8.1.2.9
SA-BA 2-2008 Par8(1)(a)(ii),8.1.1.34
SA-BA 2-2008 Par8(1)(a)(i),8.1.1.9
SA-BA 2-2008 Par7(2)(i)(ii),7.2.9.34
SA-BA 2-2008 Par7(2)(i)(i),7.2.9.9
SA-BA 2-2008 Par7(2)(h),7.2.8
SA-BA 2-2008 Par7(2)(g),7.2.7
SA-BA 2-2008 Par7(2)(f),7.2.6
SA-BA 2-2008 Par7(2)(e),7.2.5
SA-BA 2-2008 Par7(2)(d),7.2.4
SA-BA 2-2008 Par7(2)(c),7.2.3
SA-BA 2-2008 Par7(2)(b),7.2.2
SA-BA 2-2008 Par7(2)(a)(viii)(B),7.2.1.8.2
SA-BA 2-2008 Par7(2)(a)(viii)(A),7.2.1.8.1
SA-BA 2-2008 Par7(2)(a)(vii)(B),7.2.1.7.2
SA-BA 2-2008 Par7(2)(a)(vii)(A),7.2.1.7.1
SA-BA 2-2008 Par7(2)(a)(vi),7.2.1.6
SA-BA 2-2008 Par7(2)(a)(v),7.2.1.22
SA-BA 2-2008 Par7(2)(a)(iv),7.2.1.4
SA-BA 2-2008 Par7(2)(a)(iii),7.2.1.3
SA-BA 2-2008 Par7(2)(a)(ii),7.2.1.34
SA-BA 2-2008 Par7(2)(a)(i),7.2.1.9
SA-BA 2-2008 Par7(1)(a),7.1.1
SA-BA 2-2008 Par6(2)(e),6.2.5
SA-BA 2-2008 Par6(2)(d),6.2.4
SA-BA 2-2008 Par6(2)(c),6.2.3
SA-BA 2-2008 Par6(2)(b)(iii),6.2.2.3
SA-BA 2-2008 Par6(2)(b)(ii),6.2.2.34
SA-BA 2-2008 Par6(2)(b)(i),6.2.2.9
SA-BA 2-2008 Par6(2)(a)(viii),6.2.1.8
SA-BA 2-2008 Par6(2)(a)(vii),6.2.1.7
SA-BA 2-2008 Par6(2)(a)(vi),6.2.1.6
SA-BA 2-2008 Par6(2)(a)(v),6.2.1.22
SA-BA 2-2008 Par6(2)(a)(iv),6.2.1.4
SA-BA 2-2008 Par6(2)(a)(iii),6.2.1.3
SA-BA 2-2008 Par6(2)(a)(ii),6.2.1.34
SA-BA 2-2008 Par6(2)(a)(i),6.2.1.9
SA-BA 2-2008 Par6(1)(b)(iii),6.1.2.3
SA-BA 2-2008 Par6(1)(b)(ii),6.1.2.34
SA-BA 2-2008 Par6(1)(b)(i),6.1.2.9
SA-BA 2-2008 Par6(1)(a),6.1.1
SA-BA 2-2008 Par5(3)(a)(ii)(c),5.3.1.34.3
SA-BA 2-2008 Par5(3)(a)(ii)(B),5.3.1.34.2
SA-BA 2-2008 Par5(3)(a)(ii)(A),5.3.1.34.1
SA-BA 2-2008 Par5(3)(a)(i),5.3.1.9
SA-BA 2-2008 Par5(2)(q),5.2.17
SA-BA 2-2008 Par5(2)(p)(ii),5.2.16.34
SA-BA 2-2008 Par5(2)(p)(i),5.2.16.9
SA-BA 2-2008 Par5(2)(o)(ii)(b),5.2.15.34.2
SA-BA 2-2008 Par5(2)(o)(ii)(A),5.2.15.34.1
SA-BA 2-2008 Par5(2)(o)(i)(B),5.2.15.9.2
SA-BA 2-2008 Par5(2)(o)(i)(A),5.2.15.9.1
SA-BA 2-2008 Par5(2)(n)(ii),5.2.14.34
SA-BA 2-2008 Par5(2)(n)(i),5.2.14.9
SA-BA 2-2008 Par5(2)(m),5.2.13
SA-BA 2-2008 Par5(2)(l)(iii)(D),5.2.12.3.4
SA-BA 2-2008 Par5(2)(l)(iii)(c),5.2.12.3.3
SA-BA 2-2008 Par5(2)(l)(iii)(B),5.2.12.3.2
SA-BA 2-2008 Par5(2)(l)(iii)(A),5.2.12.3.1
SA-BA 2-2008 Par5(2)(l)(ii),5.2.12.34
SA-BA 2-2008 Par5(2)(l)(i),5.2.12.9
SA-BA 2-2008 Par5(2)(k)(iii),5.2.11.3
SA-BA 2-2008 Par5(2)(k)(ii),5.2.11.34
SA-BA 2-2008 Par5(2)(k)(i),5.2.11.9
SA-BA 2-2008 Par5(2)(j),5.2.10
SA-BA 2-2008 Par5(2)(i)(ii)(c),5.2.9.34.3
SA-BA 2-2008 Par5(2)(i)(ii)(B),5.2.9.34.2
SA-BA 2-2008 Par5(2)(i)(ii)(A),5.2.9.34.1
SA-BA 2-2008 Par5(2)(i)(i),5.2.9.9
SA-BA 2-2008 Par5(2)(h)(ii),5.2.8.34
SA-BA 2-2008 Par5(2)(h)(i),5.2.8.9
SA-BA 2-2008 Par5(2)(g)(ii),5.2.7.34
SA-BA 2-2008 Par5(2)(g)(i),5.2.7.9
SA-BA 2-2008 Par5(2)(f)(vi),5.2.6.6
SA-BA 2-2008 Par5(2)(f)(v),5.2.6.22
SA-BA 2-2008 Par5(2)(f)(iv),5.2.6.4
SA-BA 2-2008 Par5(2)(f)(iii),5.2.6.3
SA-BA 2-2008 Par5(2)(f)(ii),5.2.6.34
SA-BA 2-2008 Par5(2)(f)(i),5.2.6.9
SA-BA 2-2008 Par5(2)(e),5.2.5
SA-BA 2-2008 Par5(2)(d),5.2.4
SA-BA 2-2008 Par5(2)(c)(ii),5.2.3.34
SA-BA 2-2008 Par5(2)(c)(i),5.2.3.9
SA-BA 2-2008 Par5(2)(b),5.2.2
SA-BA 2-2008 Par5(2)(a)(vii)(D),5.2.1.7.4
SA-BA 2-2008 Par5(2)(a)(vii)(c),5.2.1.7.3
SA-BA 2-2008 Par5(2)(a)(vii)(B),5.2.1.7.2
SA-BA 2-2008 Par5(2)(a)(vii)(A),5.2.1.7.1
SA-BA 2-2008 Par5(2)(a)(vi),5.2.1.6
SA-BA 2-2008 Par5(2)(a)(v),5.2.1.22
SA-BA 2-2008 Par5(2)(a)(iv),5.2.1.4
SA-BA 2-2008 Par5(2)(a)(iii),5.2.1.3
SA-BA 2-2008 Par5(2)(a)(ii),5.2.1.34
SA-BA 2-2008 Par5(2)(a)(i),5.2.1.9
SA-BA 2-2008 Par5(1)(e)(ii),5.1.5.34
SA-BA 2-2008 Par5(1)(e)(i),5.1.5.9
SA-BA 2-2008 Par5(1)(d),5.1.4
SA-BA 2-2008 Par5(1)(c),5.1.3
SA-BA 2-2008 Par5(1)(b),5.1.2
SA-BA 2-2008 Par5(1)(a)(v),5.1.1.22
SA-BA 2-2008 Par5(1)(a)(iv),5.1.1.4
SA-BA 2-2008 Par5(1)(a)(iii),5.1.1.3
SA-BA 2-2008 Par5(1)(a)(ii),5.1.1.34
SA-BA 2-2008 Par5(1)(a)(i),5.1.1.9
SA-BA 2-2008 Par4(5)(a),4.5.1
SA-BA 2-2008 Par4(4)(a),4.4.1
SA-BA 2-2008 Par4(3)(a)(ii)(c),4.3.1.34.3
SA-BA 2-2008 Par4(3)(a)(ii)(B),4.3.1.34.2
SA-BA 2-2008 Par4(3)(a)(ii)(A),4.3.1.34.1
SA-BA 2-2008 Par4(3)(a)(i),4.3.1.9
SA-BA 2-2008 Par4(2)(r),4.2.18
SA-BA 2-2008 Par4(2)(q)(ii),4.2.17.34
SA-BA 2-2008 Par4(2)(q)(i),4.2.17.9
SA-BA 2-2008 Par4(2)(p)(ii)(B),4.2.16.34.2
SA-BA 2-2008 Par4(2)(p)(ii)(A),4.2.16.34.1
SA-BA 2-2008 Par4(2)(p)(i)(B),4.2.16.9.2
SA-BA 2-2008 Par4(2)(p)(i)(A),4.2.16.9.1
SA-BA 2-2008 Par4(2)(o)(iii),4.2.15.3
SA-BA 2-2008 Par4(2)(o)(ii),4.2.15.34
SA-BA 2-2008 Par4(2)(o)(i),4.2.15.9
SA-BA 2-2008 Par4(2)(n),4.2.14
SA-BA 2-2008 Par4(2)(m)(ii),4.2.13.34
SA-BA 2-2008 Par4(2)(m)(i),4.2.13.9
SA-BA 2-2008 Par4(2)(l)(vi),4.2.12.6
SA-BA 2-2008 Par4(2)(l)(v),4.2.12.22
SA-BA 2-2008 Par4(2)(l)(iv),4.2.12.4
SA-BA 2-2008 Par4(2)(l)(iii),4.2.12.3
SA-BA 2-2008 Par4(2)(l)(ii),4.2.12.34
SA-BA 2-2008 Par4(2)(l)(i),4.2.12.9
SA-BA 2-2008 Par4(2)(k),4.2.11
SA-BA 2-2008 Par4(2)(j),4.2.10
SA-BA 2-2008 Par4(2)(i)(iii),NULL
SA-BA 2-2008 Par4(2)(i)(ii),4.2.9.34
SA-BA 2-2008 Par4(2)(i)(i),4.2.9.9
SA-BA 2-2008 Par4(2)(h),4.2.8
SA-BA 2-2008 Par4(2)(g),4.2.7
SA-BA 2-2008 Par4(2)(f),4.2.6
SA-BA 2-2008 Par4(2)(e),4.2.5
SA-BA 2-2008 Par4(2)(a)(ii),4.2.1.34
SA-BA 2-2008 Par4(2)(d)(ii),4.2.4.34
SA-BA 2-2008 Par4(2)(d)(i),4.2.4.9
SA-BA 2-2008 Par4(2)(c),4.2.3
SA-BA 2-2008 Par4(2)(b)(iii),4.2.2.3
SA-BA 2-2008 Par4(2)(b)(ii)(B),4.2.2.34.2
SA-BA 2-2008 Par4(2)(b)(ii)(A),4.2.2.34.1
SA-BA 2-2008 Par4(2)(b)(i),4.2.2.9
SA-BA 2-2008 Par4(2)(a)(iii),4.2.1.3
SA-BA 2-2008 Par4(2)(a)(i),4.2.1.9
SA-BA 2-2008 Par4(1)(c),4.1.3
SA-BA 2-2008 Par4(1)(b),4.1.2
SA-BA 2-2008 Par4(1)(a)(iv),4.1.1.4
SA-BA 2-2008 Par4(1)(a)(iii),4.1.1.3
SA-BA 2-2008 Par4(1)(a)(ii),4.1.1.34
SA-STIA 3-2017 Par1,1.1
SA-STIA 7-2016 Par1,1.1
SA-BA 2-2011 Par4(2),4.2
SA-BA 2-2011 Par2(2),2.2
SA-BA 2-2011 Par2(1),2.1
SA-BA 2-2016 Par3(1),3.1
SA-BA 2-2016 Par2(2)(5),2.2.5
SA-BA 2-2016 Par2(2)(4),2.2.4
SA-BA 2-2016 Par2(2)(3),2.2.3
SA-BA 2-2016 Par2(2)(2),2.2.2
SA-BA 2-2016 Par2(2)(1),2.2.1
SA-BA 2-2016 Par2(1),2.1
SA-BA 2-2018 Par1(6),1.6
SA-BA 2-2018 Par1(5),1.5
SA-BA 2-2018 Par1(4),1.4
SA-BA 2-2018 Par1(3),1.3
SA-BA 2-2018 Par1(2),1.2
SA-BA 2-2018 Par1(1),1.1
SA-STIA 1-2019 Par6(2),6.2
SA-STIA 1-2019 Par6(1),6.1
SA-STIA PA2-2018 Par1,1.1
SA-STIA 1-2019 Par1,1.1
SA-STIA 1-2019 Par6(7),6.7
SA-STIA 1-2019 Par6(6),6.6
SA-STIA 1-2019 Par6(5),6.5
SA-STIA 1-2019 Par6(4),6.4
SA-STIA 1-2019 Par6(3)(e),6.3.5
SA-STIA 1-2019 Par6(3)(d),6.3.4
SA-STIA 1-2019 Par6(3)(c),6.3.3
SA-STIA 1-2019 Par6(3)(b),6.3.2
SA-STIA 1-2019 Par6(3)(a),6.3.1
SA-STIA 1-2019 Par5(2)(i),5.2.9
SA-STIA 1-2019 Par5(2)(h),5.2.8
SA-STIA 1-2019 Par5(2)(g),5.2.7
SA-STIA 1-2019 Par5(2)(f),5.2.6
SA-STIA 1-2019 Par5(2)(e),5.2.5
SA-STIA 1-2019 Par5(2)(d),5.2.4
SA-STIA 1-2019 Par5(2)(c),5.2.3
SA-STIA 1-2019 Par5(2)(b),5.2.2
SA-STIA 1-2019 Par5(2)(a),5.2.1
SA-STIA 1-2019 Par5(1),5.1
SA-STIA 1-2019 Par4(4),4.4
SA-STIA 1-2019 Par4(3),4.3
SA-STIA 1-2019 Par4(2),4.2
SA-STIA 1-2019 Par4(1),4.1
SA-STIA 1-2019 Par3(3),3.3
SA-STIA 1-2019 Par3(2),3.2
SA-STIA 1-2019 Par3(1),3.1
SA-STIA 1-2019 Par2(4),2.4
SA-STIA 1-2019 Par2(3),2.3
SA-STIA 1-2019 Par2(2),2.2
SA-STIA 1-2019 Par2(1),2.1
SA-STIA 2017 Par12,12.12
SA-STIA 2017 Par11,11.11
SA-STIA 2017 Par10,10.1
SA-STIA 2017 Par9,9.9
SA-STIA 2017 Par8,8.8
SA-STIA 2017 Par7,7.7
SA-STIA 2017 Par6,6.6
SA-STIA 2017 Par5,5.5
SA-STIA 2017 Par4,4.4
SA-STIA 2017 Par3,3.3
SA-STIA 2017 Par2,2.2
SA-STIA 2017 Par1,1.1
SA-STIA 135-2000 Par7,7.7
SA-STIA 135-2000 Par6,6.6
SA-STIA 135-2000 Par5,5.5
SA-STIA 135-2000 Par4,4.4
SA-STIA 135-2000 Par3,3.3
SA-STIA 135-2000 Par2(4),2.4.2.0
SA-STIA 135-2000 Par2(3),2.3.2.0
SA-STIA 135-2000 Par2(2)(2),2.2.2.0.2.2
SA-STIA 135-2000 Par2(2)(1),2.2.1.0.2.1
SA-STIA 135-2000 Par2(2),2.2.2.0
SA-STIA 135-2000 Par2(2)(vii),NULL
SA-STIA 135-2000 Par2(2)(vi),NULL
SA-STIA 135-2000 Par2(2)(v),2.2.22.0.2.22
SA-STIA 135-2000 Par2(2)(iv),NULL
SA-STIA 135-2000 Par2(2)(iii),NULL
SA-STIA 135-2000 Par2(2)(ii),2.2.34.0.2.34
SA-STIA 135-2000 Par2(2)(i),2.2.9.0.2.9
SA-STIA 135-2000 Par2(1),2.1.2.0
SA-LTIA Dir55A.i-2004 Par6(2),6.2.6.0
SA-LTIA Dir55A.i-2004 Par6(1),6.1.6.0
SA-LTIA Dir55A.i-2004 Par5(3),5.3.5.0
SA-LTIA Dir55A.i-2004 Par5(2),5.2.5.0
SA-LTIA Dir55A.i-2004 Par5(1),5.1.5.0
SA-LTIA Dir55A.i-2004 Par4(3),4.3.4.0
SA-LTIA Dir55A.i-2004 Par4(2)(i)(aa),4.2.9.26.4.2.9.26
SA-LTIA Dir55A.i-2004 Par4(1),4.1.4.0
SA-LTIA Dir55A.i-2004 Par3(c),3.3.3.3
SA-LTIA Dir55A.i-2004 Par3(b),3.2.3.2
SA-LTIA Dir55A.i-2004 Par3(a),3.1.3.1
SA-ASASA ASA01 AppH-Par2(6)(3),2.6.3
SA-ASASA ASA01 AppH-Par2(6)(2),2.6.2
SA-ASASA ASA01 AppH-Par2(6)(1),2.6.1
SA-LTIA Dir55A.i-2004 Par3,3
SA-LTIA Dir55A.i-2004 Par2(2)(b),2.2.2.0.2.2
SA-LTIA Dir55A.i-2004 Par2(2)(a),2.2.1.0.2.1
SA-LTIA Dir55A.i-2004 Par2(1)(b)(ii)(ac),NULL
SA-LTIA Dir55A.i-2004 Par2(1)(b)(ii)(ab),NULL
SA-LTIA Dir55A.i-2004 Par2(1)(b)(ii)(aa),2.1.2.34.26.2.1.2.34.26
SA-LTIA Dir55A.i-2004 Par2(1)(b)(i),2.1.2.9.2.1.2.9
SA-LTIA Dir55A.i-2004 Par2(1)(a)(ii)(ac),NULL
SA-LTIA Dir55A.i-2004 Par2(1)(a)(ii)(ab),NULL
SA-LTIA Dir55A.i-2004 Par2(1)(a)(ii)(aa),2.1.1.34.26.2.1.1.34.26
SA-LTIA Dir55A.i-2004 Par2(1)(a)(i),2.1.1.9.2.1.1.9
SA-STIA Dir151.A.i-2010 Par4,4.4
SA-STIA Dir151.A.i-2010 Par3(2),3.2.3.0
SA-STIA Dir151.A.i-2010 Par3(1),3.1.3.0
SA-STIA Dir151.A.i-2010 Par2(3),2.3.2.0
SA-STIA Dir151.A.i-2010 Par2(2),2.2.2.0
SA-STIA Dir151.A.i-2010 Par2(1),2.1.2.0
SA-STIA Dir151.A.i-2010 Par1(2)(5),1.2.5.0.2.5
SA-STIA Dir151.A.i-2010 Par1(2)(4),1.2.4.0.2.4
SA-STIA Dir151.A.i-2010 Par1(2)(3),1.2.3.0.2.3
SA-STIA Dir151.A.i-2010 Par1(2)(2),1.2.2.0.2.2
SA-STIA Dir151.A.i-2010 Par1(2)(1),1.2.1.0.2.1
SA-STIA Dir151.A.i-2010 Par1(1),1.1.1.0
SA-STIA Dir149.A.v-2013 Par3(2),3.2.3.0
SA-STIA Dir149.A.v-2013 Par3(1)(4),3.1.4.0.1.4
SA-STIA Dir149.A.v-2013 Par3(1)(3),3.1.3.0.1.3.3.1.3
SA-STIA Dir149.A.v-2013 Par3(1)(2),3.1.2.0.1.2
SA-STIA Dir149.A.v-2013 Par3(1)(1),3.1.1.0.1.1
SA-STIA Dir149.A.v-2013 Par2(7),2.7.2.0
SA-STIA Dir149.A.v-2013 Par2(6),2.6.2.0
SA-STIA Dir149.A.v-2013 Par2(5)(3),2.5.3.0.5.3
SA-STIA Dir149.A.v-2013 Par2(5)(2),2.5.2.0.5.2
SA-STIA Dir149.A.v-2013 Par2(5)(1),2.5.1.0.5.1
SA-STIA Dir149.A.v-2013 Par2(4)(3),2.4.3.0.4.3
SA-STIA Dir149.A.v-2013 Par2(4)(2),2.4.2.0.4.2
SA-STIA Dir149.A.v-2013 Par2(4)(1),2.4.1.0.4.1
SA-STIA Dir149.A.v-2013 Par2(3),2.3.2.0
SA-STIA Dir149.A.v-2013 Par2(2)(2),2.2.2.0.2.2
SA-STIA Dir149.A.v-2013 Par2(2)(1),2.2.1.0.2.1
SA-STIA Dir149.A.v-2013 Par2(1),2.1.2.0
SA-STIA 63-2007 Par 12,12.12
SA-STIA 63-2007 Par 11,11.11
SA-STIA 63-2007 Par 10(2),10.2.10.0
SA-STIA 63-2007 Par 10(1),10.1.10.0
SA-STIA 63-2007 Par 9,9.9
SA-STIA 63-2007 Par 8(2),8.2.8.0
SA-STIA 63-2007 Par 8(1),8.1.8.0
SA-STIA 63-2007 Par 7(4),7.4.7.0
SA-STIA 63-2007 Par 7(3),7.3.7.0
SA-STIA 63-2007 Par 7(1),7.1.7.0
SA-STIA 63-2007 Par 7(1)(2),7.1.2.0.1.2
SA-STIA 63-2007 Par 7(1)(1),7.1.1.0.1.1
SA-STIA 63-2007 Par 6(4),6.4.6.0
SA-STIA 63-2007 Par 6(3),6.3.6.0
SA-STIA 63-2007 Par 6(2),6.2.6.0
SA-STIA 63-2007 Par 6(1)(6),6.1.6.0.1.6
SA-STIA 63-2007 Par 6(1)(5),6.1.5.0.1.5
SA-STIA 63-2007 Par 6(1)(4),6.1.4.0.1.4
SA-STIA 63-2007 Par 6(1)(3),6.1.3.0.1.3
SA-STIA 63-2007 Par 6(1)(2),6.1.2.0.1.2
SA-STIA 63-2007 Par 6(1)(1),6.1.1.0.1.1
SA-STIA 63-2007 Par 5(2)(4),5.2.4.0.2.4
SA-STIA 63-2007 Par 5(2)(3),5.2.3.0.2.3
SA-STIA 63-2007 Par 5(2)(2)(7),5.2.2.0.5.2.2.7
SA-STIA 1433-2017 Rule18(9)(7)(c),18.9.7.3.18.9.7.3
SA-STIA 63-2007 Par 5(2)(2)(6),5.2.2.0.5.2.2.6
SA-STIA 63-2007 Par 5(2)(2)(5),5.2.2.0.5.2.2.5
SA-STIA 63-2007 Par 5(2)(2)(4),5.2.2.0.5.2.2.4
SA-STIA 63-2007 Par 5(2)(2)(3),5.2.2.0.5.2.2.3
SA-STIA 63-2007 Par 5(2)(2)(2),5.2.2.0.5.2.2.2
SA-STIA 63-2007 Par 5(2)(2)(1),5.2.2.0.5.2.2.1
SA-STIA 63-2007 Par 5(2)(1)(8),5.2.1.0.5.2.1.8
SA-STIA 63-2007 Par 5(2)(1)(7),5.2.1.0.5.2.1.7
SA-STIA 63-2007 Par 5(2)(1)(6),5.2.1.0.5.2.1.6
SA-STIA 63-2007 Par 5(2)(1)(5),5.2.1.0.5.2.1.5
SA-STIA 63-2007 Par 5(2)(1)(4),5.2.1.0.5.2.1.4
SA-STIA 63-2007 Par 5(2)(1)(3),5.2.1.0.5.2.1.3
SA-STIA 63-2007 Par 5(2)(1)(2),5.2.1.0.5.2.1.2
SA-STIA 63-2007 Par 5(2)(1)(1),5.2.1.0.5.2.1.1
SA-STIA 63-2007 Par 5(1)(4),5.1.4.0.1.4
SA-STIA 63-2007 Par 5(1)(3),5.1.3.0.1.3
SA-STIA 63-2007 Par 5(1)(2),5.1.2.0.1.2
SA-STIA 63-2007 Par 5(1)(1),5.1.1.0.1.1
SA-STIA 63-2007 Par 5(1),5.1.5.0
SA-STIA 63-2007 Par 4(3),4.3.4.0
SA-STIA 63-2007 Par 4(2),4.2.4.0
SA-STIA 63-2007 Par 4(1),4.1.4.0
SA-STIA 63-2007 Par 3(4),3.4.3.0
SA-STIA 63-2007 Par 3(3),3.3.3.0
SA-STIA 63-2007 Par 3(2),3.2.3.0
SA-STIA 63-2007 Par 3(1),3.1.3.0
SA-STIA 63-2007 Par 2(5),2.5.2.0
SA-STIA 63-2007 Par 2(4),2.4.2.0
SA-STIA 63-2007 Par 2(3),2.3.2.0
SA-STIA 63-2007 Par 2(2),2.2.2.0
SA-STIA 63-2007 Par 2(1),2.1.2.0
SA-STIA 63-2007 Par 1(5),1.5.1.0
SA-STIA 63-2007 Par 1(4),1.4.1.0
SA-STIA 63-2007 Par 1(3)(3),1.3.3.0.3.3
SA-STIA 63-2007 Par 1(3)(2)(6)(6)(4),1.3.2.0.6.4.1.3.2.6.6.4
SA-STIA 63-2007 Par 1(3)(2)(6)(6)(3),1.3.2.0.6.3.1.3.2.6.6.3
SA-STIA 63-2007 Par 1(3)(2)(6)(6)(2),1.3.2.0.6.2.1.3.2.6.6.2
SA-STIA 63-2007 Par 1(3)(2)(6)(6)(1),1.3.2.0.6.1.1.3.2.6.6.1
SA-STIA 63-2007 Par 1(3)(1)(3),1.3.1.0.1.3.1.3
SA-STIA 63-2007 Par 1(3)(1)(2),1.3.1.0.1.3.1.2
SA-STIA 63-2007 Par 1(3)(1)(1)(b),1.3.1.0.2.1.3.1.1.2
SA-STIA 63-2007 Par 1(3)(1)(1)(a),1.3.1.0.1.1.3.1.1.1
SA-STIA 63-2007 Par 1(3),1.3.1.0
SA-STIA 63-2007 Par 1(2),1.2.1.0
SA-STIA 63-2007 Par 1(1),1.1.1.0
SA-STIA 1433-2017 Rule19(4)(b),19.4.2.0.4.2
SA-STIA 1433-2017 Rule19(4)(a),19.4.1.0.4.1
SA-STIA 1433-2017 Rule19(3)(6),19.3.6.0.3.6
SA-STIA 1433-2017 Rule19(3)(5)(b),19.3.5.2.19.3.5.2
SA-STIA 1433-2017 Rule19(3)(5)(a),19.3.5.1.19.3.5.1
SA-STIA 1433-2017 Rule19(3)(4)(b),19.3.4.2.19.3.4.2
SA-STIA 1433-2017 Rule19(3)(4)(a),19.3.4.1.19.3.4.1
SA-STIA 1433-2017 Rule19(3)(3)(b),19.3.3.2.19.3.3.2
SA-STIA 1433-2017 Rule19(3)(3)(a),19.3.3.1.19.3.3.1
SA-STIA 1433-2017 Rule19(3)(2),19.3.2.0.3.2
SA-STIA 1433-2017 Rule19(3)(1),19.3.1.0.3.1
SA-STIA 1433-2017 Rule19(2)(6)(b),19.2.0.2
SA-STIA 1433-2017 Rule19(2)(6)(a),19.2.0.1
SA-STIA 1433-2017 Rule19(2)(5)(b),19.2.0.2
SA-STIA 1433-2017 Rule19(2)(5)(a),19.2.0.1
SA-STIA 1433-2017 Rule19(2)(4)(b),19.2.0.2
SA-STIA 1433-2017 Rule19(2)(4)(a),19.2.0.1
SA-STIA 1433-2017 Rule19(2)(3)(b)(ii),19.2.3.2.34.19.2.3.2.34
SA-STIA 1433-2017 Rule19(2)(3)(b)(i),19.2.3.2.9.19.2.3.2.9
SA-STIA 1433-2017 Rule19(2)(3)(a),19.2.3.1.19.2.3.1
SA-STIA 1433-2017 Rule19(2)(2)(b),19.2.2.2.19.2.2.2
SA-STIA 1433-2017 Rule19(2)(2)(a),19.2.2.1.19.2.2.1
SA-STIA 1433-2017 Rule19(2)(1)(c),19.2.1.3.19.2.1.3
SA-STIA 1433-2017 Rule19(2)(1)(b)(ii),19.2.1.2.34.19.2.1.2.34
SA-STIA 1433-2017 Rule19(2)(1)(b)(i),19.2.1.2.9.19.2.1.2.9
SA-STIA 1433-2017 Rule19(2)(1)(a),19.2.1.1.19.2.1.1
SA-STIA 1433-2017 Rule19(1),19.1.19.0.19.1
SA-STIA 1433-2017 Rule18(11),18.11.18.0
SA-STIA 1433-2017 Rule18(10)(2)(b),18.10.2.2.18.10.2.2
SA-STIA 1433-2017 Rule18(10)(2)(a),18.10.2.1.18.10.2.1
SA-STIA 1433-2017 Rule18(10)(1)(e),18.10.1.5.18.10.1.5
SA-STIA 1433-2017 Rule18(10)(1)(d),18.10.1.4.18.10.1.4
SA-STIA 1433-2017 Rule18(10)(1)(c),18.10.1.3.18.10.1.3
SA-STIA 1433-2017 Rule18(10)(1)(b),18.10.1.2.18.10.1.2
SA-STIA 1433-2017 Rule18(10)(1)(a),18.10.1.1.18.10.1.1
SA-STIA 1433-2017 Rule18(9)(7)(b),18.9.7.2.18.9.7.2
SA-STIA 1433-2017 Rule18(9)(7)(a),18.9.7.1.18.9.7.1
SA-STIA 1433-2017 Rule18(9)(6)(d),18.9.6.4.18.9.6.4
SA-STIA 1433-2017 Rule18(9)(6)(c),18.9.6.3.18.9.6.3
SA-STIA 1433-2017 Rule18(9)(6)(b),18.9.6.2.18.9.6.2
SA-STIA 1433-2017 Rule18(9)(6)(a),18.9.6.1.18.9.6.1
SA-STIA 1433-2017 Rule18(9)(5)(d),18.9.5.4.18.9.5.4
SA-STIA 1433-2017 Rule18(9)(5)(c),18.9.5.3.18.9.5.3
SA-STIA 1433-2017 Rule18(9)(5)(b),18.9.5.2.18.9.5.2
SA-STIA 1433-2017 Rule18(9)(5)(a),18.9.5.1.18.9.5.1
SA-STIA 1433-2017 Rule18(9)(4),18.9.4.0.9.4
SA-STIA 1433-2017 Rule18(9)(3),18.9.3.0.9.3
SA-STIA 1433-2017 Rule18(9)(2),18.9.2.0.9.2
SA-STIA 1433-2017 Rule18(9)(1),18.9.1.0.9.1
SA-STIA 1433-2017 Rule18(8)(5),18.8.5.0.8.5
